"Step_name"	"Copy_nr"	"Read"	"Written"	"Input"	"Output"	"Updated"	"Rejected"	"Errors"	"Status"	"Runtime"
"DimAccount"	"0"	"0"	"15110"	"15110"	"0"	"0"	"0"	"0"	"Finished"	"286"
"Select values"	"0"	"15110"	"15110"	"0"	"0"	"0"	"0"	"0"	"Finished"	"289"
"Sort accountId"	"0"	"15110"	"15110"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6028"
"Sort CT_CA_ID"	"0"	"602113"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6115"
"Merge Join accID"	"0"	"617223"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6491"
"date"	"0"	"0"	"25933"	"25933"	"0"	"0"	"0"	"0"	"Finished"	"428"
"Select values 2"	"0"	"25933"	"25933"	"0"	"0"	"0"	"0"	"0"	"Finished"	"431"
"Sort rows date"	"0"	"602113"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"9013"
"Merge Join date"	"0"	"628046"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"9350"
"calculate sum"	"0"	"602113"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"9352"
"Select values 3"	"0"	"602113"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"9356"
"Filter rows in not null"	"0"	"602113"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"9359"
"Dummy (do nothing)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"Finished"	"9362"
"Filter rows date"	"0"	"602113"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6494"
"AddConst"	"0"	"549200"	"549200"	"0"	"0"	"0"	"0"	"0"	"Finished"	"73913"
"FactCashBalancies"	"0"	"549200"	"549200"	"0"	"549200"	"0"	"0"	"0"	"Finished"	"75083"
"ct_dts-noTimeDate"	"0"	"602113"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6497"
"Sort date"	"0"	"25933"	"25933"	"0"	"0"	"0"	"0"	"0"	"Finished"	"7018"
"Sort rows"	"0"	"549200"	"549200"	"0"	"0"	"0"	"0"	"0"	"Finished"	"71632"
"Cumulative sum"	"0"	"549200"	"549200"	"0"	"0"	"0"	"0"	"0"	"Finished"	"72804"
"Unique rows"	"0"	"602113"	"549200"	"0"	"0"	"0"	"0"	"0"	"Finished"	"9362"
"CashTransactions"	"0"	"0"	"602113"	"602113"	"0"	"1"	"0"	"0"	"Finished"	"3561"
"User Defined Java Expression"	"0"	"602113"	"602113"	"0"	"0"	"0"	"0"	"0"	"Finished"	"3563"
"
"
