"Step_name"	"Copy_nr"	"Read"	"Written"	"Input"	"Output"	"Updated"	"Rejected"	"Errors"	"Status"	"Runtime"
"Calculator"	"0"	"342"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"587"
"Sort rows date"	"0"	"342"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"589"
"CashTransactions"	"0"	"0"	"342"	"342"	"0"	"1"	"0"	"0"	"Finished"	"23"
"Sort CT_CA_ID"	"0"	"342"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"38"
"DimAccount"	"0"	"0"	"15110"	"15110"	"0"	"0"	"0"	"0"	"Finished"	"248"
"Select values"	"0"	"15110"	"15110"	"0"	"0"	"0"	"0"	"0"	"Finished"	"251"
"Select values 2"	"0"	"25933"	"25933"	"0"	"0"	"0"	"0"	"0"	"Finished"	"660"
"Merge Join date"	"0"	"26275"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"978"
"Merge Join accID"	"0"	"15452"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"585"
"Sort accountId"	"0"	"15110"	"15110"	"0"	"0"	"0"	"0"	"0"	"Finished"	"262"
"date"	"0"	"0"	"25933"	"25933"	"0"	"0"	"0"	"0"	"Finished"	"658"
"Filter rows IsCurrent"	"0"	"15110"	"15110"	"0"	"0"	"0"	"0"	"0"	"Finished"	"254"
"FactCashBalances input"	"0"	"0"	"549200"	"549200"	"0"	"0"	"0"	"0"	"Finished"	"2059"
"Sort rows"	"0"	"549200"	"549200"	"0"	"0"	"0"	"0"	"0"	"Finished"	"2404"
"Sort rows 2"	"0"	"331"	"331"	"0"	"0"	"0"	"0"	"0"	"Finished"	"2742"
"Cumulative sum"	"0"	"331"	"331"	"0"	"0"	"0"	"0"	"0"	"Finished"	"2747"
"Calculate sum"	"0"	"342"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"980"
"Group by"	"0"	"549200"	"7559"	"0"	"0"	"0"	"0"	"0"	"Finished"	"2413"
"Sort rows sk_accountid"	"0"	"342"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"984"
"Merge Join"	"0"	"7901"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"2729"
"Calculator 2"	"0"	"342"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"2735"
"Select values 3 2"	"0"	"342"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"2736"
"If field value is null"	"0"	"342"	"342"	"0"	"0"	"0"	"0"	"0"	"Finished"	"2732"
"Unique rows"	"0"	"342"	"331"	"0"	"0"	"0"	"0"	"0"	"Finished"	"2739"
"FactCashBalances load"	"0"	"331"	"331"	"0"	"331"	"0"	"0"	"0"	"Finished"	"2818"
"
"
