"Step_name"	"Copy_nr"	"Read"	"Written"	"Input"	"Output"	"Updated"	"Rejected"	"Errors"	"Status"	"Runtime"
"FINWARE merged"	"0"	"0"	"204560"	"204561"	"0"	"1"	"0"	"0"	"Finished"	"3944"
"Filter rows"	"0"	"204560"	"198061"	"0"	"0"	"0"	"0"	"0"	"Finished"	"3947"
"Filter rows result"	"0"	"198061"	"198061"	"0"	"0"	"0"	"0"	"0"	"Finished"	"3953"
"no"	"0"	"98708"	"98708"	"0"	"0"	"0"	"0"	"0"	"Finished"	"3958"
"yes"	"0"	"99353"	"99353"	"0"	"0"	"0"	"0"	"0"	"Finished"	"3958"
"Regex Evaluation"	"0"	"198061"	"198061"	"0"	"0"	"0"	"0"	"0"	"Finished"	"3950"
"Select values"	"0"	"2297"	"2297"	"0"	"0"	"0"	"0"	"0"	"Finished"	"87"
"Sort rows 4"	"0"	"2297"	"2297"	"0"	"0"	"0"	"0"	"0"	"Finished"	"98"
"Select values 2"	"0"	"2297"	"2297"	"0"	"0"	"0"	"0"	"0"	"Finished"	"87"
"Sort rows 2"	"0"	"2297"	"2297"	"0"	"0"	"0"	"0"	"0"	"Finished"	"94"
"Select values 3"	"0"	"108662"	"108662"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6445"
"union"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6447"
"Select values 3 2"	"0"	"108144"	"108144"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6429"
"Sort CoNameOrCIK"	"0"	"99353"	"99353"	"0"	"0"	"0"	"0"	"0"	"Finished"	"4320"
"Merge Join 2"	"0"	"101650"	"114246"	"0"	"0"	"0"	"0"	"0"	"Finished"	"4653"
"Sort rows PTS 2"	"0"	"108662"	"108662"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6428"
"Merge Join"	"0"	"101005"	"113507"	"0"	"0"	"0"	"0"	"0"	"Finished"	"4623"
"Sort CoNameOrCIK 2"	"0"	"98708"	"98708"	"0"	"0"	"0"	"0"	"0"	"Finished"	"4301"
"Sort rows PTS"	"0"	"108144"	"108144"	"0"	"0"	"0"	"0"	"0"	"Finished"	"6415"
"dimcompany"	"0"	"0"	"4594"	"2297"	"0"	"0"	"0"	"0"	"Finished"	"82"
"Sort rows 7"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"14582"
"Filter date "	"0"	"114246"	"108662"	"0"	"0"	"0"	"0"	"0"	"Finished"	"4655"
"Filter date 2"	"0"	"113507"	"108144"	"0"	"0"	"0"	"0"	"0"	"Finished"	"4627"
"quarter-toInt"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"15843"
"year-toNo"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"17097"
"revenue-toNo"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"18340"
"earnings-toNo 2"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"19548"
"eps-toNo 2"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"20762"
"dilutedeps-toNo"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"22003"
"margin-toNo 2"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"23180"
"inventory-toNo 2"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"24335"
"assets-toNo 2"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"25536"
"liabilities-toNo"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"26738"
"shout-toNo"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"27910"
"dilutedshout-toNo"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"29163"
"Select values 4"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"30348"
"QtrStartDate-toDATE"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"31499"
"PostingDate-toDATE 2"	"0"	"216806"	"216806"	"0"	"0"	"0"	"0"	"0"	"Finished"	"32711"
"Financial"	"0"	"216806"	"216806"	"0"	"216806"	"0"	"0"	"0"	"Finished"	"33938"
"
"
